x	f(x)	P1(x)	P2(x)	P3(x)	P4(x)	P5(x)	Q1(x)	Q2(x)	Q3(x)	Q4(x)	Q5(x)
-0.62	-0.26557	-0.334767	-0.334704	-0.219586	-0.219527	-0.22085	-0.334767	-0.334704	-0.219586	-0.219979	-0.224097	
-0.6	-0.230111	-0.324011	-0.323982	-0.200631	-0.200581	-0.202021	-0.324011	-0.323982	-0.200631	-0.201011	-0.204058	
-0.6	-0.222921	-0.324011	-0.323982	-0.200631	-0.200581	-0.202021	-0.324011	-0.323982	-0.200631	-0.201011	-0.204058	
-0.6	-0.231371	-0.324011	-0.323982	-0.200631	-0.200581	-0.202021	-0.324011	-0.323982	-0.200631	-0.201011	-0.204058	
-0.58	-0.215935	-0.313254	-0.31326	-0.18285	-0.18281	-0.184351	-0.313254	-0.31326	-0.18285	-0.183213	-0.185173	
-0.58	-0.231475	-0.313254	-0.31326	-0.18285	-0.18281	-0.184351	-0.313254	-0.31326	-0.18285	-0.183213	-0.185173	
-0.58	-0.233295	-0.313254	-0.31326	-0.18285	-0.18281	-0.184351	-0.313254	-0.31326	-0.18285	-0.183213	-0.185173	
-0.56	-0.12618	-0.302498	-0.302536	-0.166203	-0.166174	-0.167803	-0.302498	-0.302536	-0.166203	-0.166547	-0.167422	
-0.56	-0.12716	-0.302498	-0.302536	-0.166203	-0.166174	-0.167803	-0.302498	-0.302536	-0.166203	-0.166547	-0.167422	
-0.56	-0.12394	-0.302498	-0.302536	-0.166203	-0.166174	-0.167803	-0.302498	-0.302536	-0.166203	-0.166547	-0.167422	
-0.54	-0.173442	-0.291742	-0.291811	-0.150652	-0.150633	-0.152337	-0.291742	-0.291811	-0.150652	-0.150972	-0.150782	
-0.54	-0.125462	-0.291742	-0.291811	-0.150652	-0.150633	-0.152337	-0.291742	-0.291811	-0.150652	-0.150972	-0.150782	
-0.54	-0.161872	-0.291742	-0.291811	-0.150652	-0.150633	-0.152337	-0.291742	-0.291811	-0.150652	-0.150972	-0.150782	
-0.52	-0.125456	-0.280985	-0.281085	-0.136158	-0.136149	-0.137915	-0.280985	-0.281085	-0.136158	-0.136452	-0.13523	
-0.52	-0.117066	-0.280985	-0.281085	-0.136158	-0.136149	-0.137915	-0.280985	-0.281085	-0.136158	-0.136452	-0.13523	
-0.52	-0.140656	-0.280985	-0.281085	-0.136158	-0.136149	-0.137915	-0.280985	-0.281085	-0.136158	-0.136452	-0.13523	
-0.5	-0.116356	-0.270229	-0.270358	-0.122681	-0.122682	-0.124496	-0.270229	-0.270358	-0.122681	-0.122946	-0.120741	
-0.5	-0.119796	-0.270229	-0.270358	-0.122681	-0.122682	-0.124496	-0.270229	-0.270358	-0.122681	-0.122946	-0.120741	
-0.5	-0.158846	-0.270229	-0.270358	-0.122681	-0.122682	-0.124496	-0.270229	-0.270358	-0.122681	-0.122946	-0.120741	
-0.48	-0.112464	-0.259473	-0.25963	-0.110182	-0.110193	-0.112044	-0.259473	-0.25963	-0.110182	-0.110417	-0.107287	
-0.48	-0.120914	-0.259473	-0.25963	-0.110182	-0.110193	-0.112044	-0.259473	-0.25963	-0.110182	-0.110417	-0.107287	
-0.48	-0.0601039	-0.259473	-0.25963	-0.110182	-0.110193	-0.112044	-0.259473	-0.25963	-0.110182	-0.110417	-0.107287	
-0.46	-0.117709	-0.248716	-0.2489	-0.0986225	-0.0986436	-0.100517	-0.248716	-0.2489	-0.0986225	-0.0988248	-0.0948393	
-0.46	-0.103099	-0.248716	-0.2489	-0.0986225	-0.0986436	-0.100517	-0.248716	-0.2489	-0.0986225	-0.0988248	-0.0948393	
-0.46	-0.0443994	-0.248716	-0.2489	-0.0986225	-0.0986436	-0.100517	-0.248716	-0.2489	-0.0986225	-0.0988248	-0.0948393	
-0.44	-0.0449019	-0.23796	-0.23817	-0.0879624	-0.0879934	-0.0898782	-0.23796	-0.23817	-0.0879624	-0.0881313	-0.0833682	
-0.44	-0.114062	-0.23796	-0.23817	-0.0879624	-0.0879934	-0.0898782	-0.23796	-0.23817	-0.0879624	-0.0881313	-0.0833682	
-0.44	-0.0828019	-0.23796	-0.23817	-0.0879624	-0.0879934	-0.0898782	-0.23796	-0.23817	-0.0879624	-0.0881313	-0.0833682	
-0.42	-0.0481689	-0.227204	-0.227438	-0.078163	-0.0782038	-0.0800881	-0.227204	-0.227438	-0.078163	-0.0782975	-0.0728415	
-0.42	-0.0826189	-0.227204	-0.227438	-0.078163	-0.0782038	-0.0800881	-0.227204	-0.227438	-0.078163	-0.0782975	-0.0728415	
-0.42	-0.0588489	-0.227204	-0.227438	-0.078163	-0.0782038	-0.0800881	-0.227204	-0.227438	-0.078163	-0.0782975	-0.0728415	
-0.4	-0.0428669	-0.216448	-0.216705	-0.069185	-0.0692353	-0.0711079	-0.216448	-0.216705	-0.069185	-0.0692846	-0.0632263	
-0.4	-0.0879169	-0.216448	-0.216705	-0.069185	-0.0692353	-0.0711079	-0.216448	-0.216705	-0.069185	-0.0692846	-0.0632263	
-0.4	-0.0660469	-0.216448	-0.216705	-0.069185	-0.0692353	-0.0711079	-0.216448	-0.216705	-0.069185	-0.0692846	-0.0632263	
-0.38	-0.0903309	-0.205691	-0.205971	-0.0609893	-0.061049	-0.0628988	-0.205691	-0.205971	-0.0609893	-0.0610537	-0.0544879	
-0.38	-0.0481909	-0.205691	-0.205971	-0.0609893	-0.061049	-0.0628988	-0.205691	-0.205971	-0.0609893	-0.0610537	-0.0544879	
-0.38	-0.0881809	-0.205691	-0.205971	-0.0609893	-0.061049	-0.0628988	-0.205691	-0.205971	-0.0609893	-0.0610537	-0.0544879	
-0.36	-0.0344747	-0.194935	-0.195236	-0.0535367	-0.0536054	-0.0554221	-0.194935	-0.195236	-0.0535367	-0.0535659	-0.0465906	
-0.36	-0.0748347	-0.194935	-0.195236	-0.0535367	-0.0536054	-0.0554221	-0.194935	-0.195236	-0.0535367	-0.0535659	-0.0465906	
-0.36	-0.0663647	-0.194935	-0.195236	-0.0535367	-0.0536054	-0.0554221	-0.194935	-0.195236	-0.0535367	-0.0535659	-0.0465906	
-0.34	-0.0231411	-0.184179	-0.1845	-0.0467881	-0.0468655	-0.0486389	-0.184179	-0.1845	-0.0467881	-0.0467824	-0.0394973	
-0.34	-0.0402211	-0.184179	-0.1845	-0.0467881	-0.0468655	-0.0486389	-0.184179	-0.1845	-0.0467881	-0.0467824	-0.0394973	
-0.34	-0.0774011	-0.184179	-0.1845	-0.0467881	-0.0468655	-0.0486389	-0.184179	-0.1845	-0.0467881	-0.0467824	-0.0394973	
-0.32	-0.0358216	-0.173422	-0.173762	-0.0407043	-0.04079	-0.0425106	-0.173422	-0.173762	-0.0407043	-0.0406642	-0.03317	
-0.32	0.0143684	-0.173422	-0.173762	-0.0407043	-0.04079	-0.0425106	-0.173422	-0.173762	-0.0407043	-0.0406642	-0.03317	
-0.32	-0.0551716	-0.173422	-0.173762	-0.0407043	-0.04079	-0.0425106	-0.173422	-0.173762	-0.0407043	-0.0406642	-0.03317	
-0.3	0.0227032	-0.162666	-0.163024	-0.035246	-0.0353398	-0.0369984	-0.162666	-0.163024	-0.035246	-0.0351725	-0.0275693	
-0.3	-0.0368268	-0.162666	-0.163024	-0.035246	-0.0353398	-0.0369984	-0.162666	-0.163024	-0.035246	-0.0351725	-0.0275693	
-0.3	-0.0535368	-0.162666	-0.163024	-0.035246	-0.0353398	-0.0369984	-0.162666	-0.163024	-0.035246	-0.0351725	-0.0275693	
-0.28	-0.0549363	-0.15191	-0.152284	-0.0303742	-0.0304756	-0.0320636	-0.15191	-0.152284	-0.0303742	-0.0302682	-0.022655	
-0.28	-0.0478063	-0.15191	-0.152284	-0.0303742	-0.0304756	-0.0320636	-0.15191	-0.152284	-0.0303742	-0.0302682	-0.022655	
-0.28	-0.0214563	-0.15191	-0.152284	-0.0303742	-0.0304756	-0.0320636	-0.15191	-0.152284	-0.0303742	-0.0302682	-0.022655	
-0.26	0.0200714	-0.141153	-0.141543	-0.0260496	-0.0261583	-0.0276676	-0.141153	-0.141543	-0.0260496	-0.0259125	-0.0183858	
-0.26	0.00186135	-0.141153	-0.141543	-0.0260496	-0.0261583	-0.0276676	-0.141153	-0.141543	-0.0260496	-0.0259125	-0.0183858	
-0.26	0.0233414	-0.141153	-0.141543	-0.0260496	-0.0261583	-0.0276676	-0.141153	-0.141543	-0.0260496	-0.0259125	-0.0183858	
-0.24	-0.000991671	-0.130397	-0.130801	-0.0222331	-0.0223485	-0.0237716	-0.130397	-0.130801	-0.0222331	-0.0220663	-0.0147195	
-0.24	-0.00540167	-0.130397	-0.130801	-0.0222331	-0.0223485	-0.0237716	-0.130397	-0.130801	-0.0222331	-0.0220663	-0.0147195	
-0.24	0.00407833	-0.130397	-0.130801	-0.0222331	-0.0223485	-0.0237716	-0.130397	-0.130801	-0.0222331	-0.0220663	-0.0147195	
-0.22	-0.00483231	-0.119641	-0.120058	-0.0188855	-0.0190073	-0.020337	-0.119641	-0.120058	-0.0188855	-0.0186907	-0.0116132	
-0.22	-0.00959231	-0.119641	-0.120058	-0.0188855	-0.0190073	-0.020337	-0.119641	-0.120058	-0.0188855	-0.0186907	-0.0116132	
-0.22	0.00455769	-0.119641	-0.120058	-0.0188855	-0.0190073	-0.020337	-0.119641	-0.120058	-0.0188855	-0.0186907	-0.0116132	
-0.2	-0.0180868	-0.108884	-0.109313	-0.0159677	-0.0160953	-0.0173251	-0.108884	-0.109313	-0.0159677	-0.0157468	-0.00902304	
-0.2	-0.0250468	-0.108884	-0.109313	-0.0159677	-0.0160953	-0.0173251	-0.108884	-0.109313	-0.0159677	-0.0157468	-0.00902304	
-0.2	0.0336632	-0.108884	-0.109313	-0.0159677	-0.0160953	-0.0173251	-0.108884	-0.109313	-0.0159677	-0.0157468	-0.00902304	
-0.18	0.0305594	-0.098128	-0.098568	-0.0134405	-0.0135733	-0.0146974	-0.098128	-0.098568	-0.0134405	-0.0131954	-0.00690461	
-0.18	-0.0322506	-0.098128	-0.098568	-0.0134405	-0.0135733	-0.0146974	-0.098128	-0.098568	-0.0134405	-0.0131954	-0.00690461	
-0.18	-0.00813056	-0.098128	-0.098568	-0.0134405	-0.0135733	-0.0146974	-0.098128	-0.098568	-0.0134405	-0.0131954	-0.00690461	
-0.16	-0.0175285	-0.0873717	-0.0878215	-0.0112646	-0.0114023	-0.0124152	-0.0873717	-0.0878215	-0.0112646	-0.0109975	-0.00521275	
-0.16	0.00166145	-0.0873717	-0.0878215	-0.0112646	-0.0114023	-0.0124152	-0.0873717	-0.0878215	-0.0112646	-0.0109975	-0.00521275	
-0.16	-0.0137685	-0.0873717	-0.0878215	-0.0112646	-0.0114023	-0.0124152	-0.0873717	-0.0878215	-0.0112646	-0.0109975	-0.00521275	
-0.14	-0.032215	-0.0766154	-0.0770737	-0.00940096	-0.00954292	-0.0104398	-0.0766154	-0.0770737	-0.00940096	-0.00911417	-0.00390173	
-0.14	0.020765	-0.0766154	-0.0770737	-0.00940096	-0.00954292	-0.0104398	-0.0766154	-0.0770737	-0.00940096	-0.00911417	-0.00390173	
-0.14	-0.041235	-0.0766154	-0.0770737	-0.00940096	-0.00954292	-0.0104398	-0.0766154	-0.0770737	-0.00940096	-0.00911417	-0.00390173	
-0.12	0.0176861	-0.0658591	-0.0663248	-0.00781039	-0.00795608	-0.00873274	-0.0658591	-0.0663248	-0.00781039	-0.00750628	-0.00292532	
-0.12	-0.0344839	-0.0658591	-0.0663248	-0.00781039	-0.00795608	-0.00873274	-0.0658591	-0.0663248	-0.00781039	-0.00750628	-0.00292532	
-0.12	-0.0120639	-0.0658591	-0.0663248	-0.00781039	-0.00795608	-0.00873274	-0.0658591	-0.0663248	-0.00781039	-0.00750628	-0.00292532	
-0.1	-0.0166983	-0.0551028	-0.0555748	-0.0064537	-0.00660257	-0.00725537	-0.0551028	-0.0555748	-0.0064537	-0.00613478	-0.00223683	
-0.1	-0.0399283	-0.0551028	-0.0555748	-0.0064537	-0.00660257	-0.00725537	-0.0551028	-0.0555748	-0.0064537	-0.00613478	-0.00223683	
-0.1	-0.0490883	-0.0551028	-0.0555748	-0.0064537	-0.00660257	-0.00725537	-0.0551028	-0.0555748	-0.0064537	-0.00613478	-0.00223683	
-0.08	0.0295585	-0.0443464	-0.0448236	-0.00529172	-0.0054432	-0.0059691	-0.0443464	-0.0448236	-0.00529172	-0.00496056	-0.00178914	
-0.08	-0.0371415	-0.0443464	-0.0448236	-0.00529172	-0.0054432	-0.0059691	-0.0443464	-0.0448236	-0.00529172	-0.00496056	-0.00178914	
-0.08	0.00405855	-0.0443464	-0.0448236	-0.00529172	-0.0054432	-0.0059691	-0.0443464	-0.0448236	-0.00529172	-0.00496056	-0.00178914	
-0.06	-0.0273459	-0.0335901	-0.0340713	-0.00428529	-0.00443881	-0.00483537	-0.0335901	-0.0340713	-0.00428529	-0.00394454	-0.00153484	
-0.06	0.0273141	-0.0335901	-0.0340713	-0.00428529	-0.00443881	-0.00483537	-0.0335901	-0.0340713	-0.00428529	-0.00394454	-0.00153484	
-0.06	-0.0463859	-0.0335901	-0.0340713	-0.00428529	-0.00443881	-0.00483537	-0.0335901	-0.0340713	-0.00428529	-0.00394454	-0.00153484	
-0.04	-0.000613983	-0.0228338	-0.0233179	-0.00339522	-0.00355021	-0.0038156	-0.0228338	-0.0233179	-0.00339522	-0.00304759	-0.00142624	
-0.04	0.039026	-0.0228338	-0.0233179	-0.00339522	-0.00355021	-0.0038156	-0.0228338	-0.0233179	-0.00339522	-0.00304759	-0.00142624	
-0.04	-0.027974	-0.0228338	-0.0233179	-0.00339522	-0.00355021	-0.0038156	-0.0228338	-0.0233179	-0.00339522	-0.00304759	-0.00142624	
-0.02	0.047572	-0.0120775	-0.0125633	-0.00258236	-0.00273822	-0.00287122	-0.0120775	-0.0125633	-0.00258236	-0.00223058	-0.00141542	
